Name,SecondaryName,Category,Difficulty,FakieDifficulty,SwitchDifficulty,NollieDifficulty,SpecialTrick
Frontside Caballerial Kickflip,Fakie Frontside 360 Kickflip,Flat Ground,8,INVALID,INVALID,INVALID,0
Backside Caballerial Heelflip,Fakie Backside 360 Heelflip,Flat Ground,7,INVALID,INVALID,INVALID,0
Frontside Caballerial Heelflip,Fakie Frontside 360 Heelflip,Flat Ground,8,INVALID,INVALID,INVALID,0
Backside Halfcab Kickflip,Fakie Backside 180 Kickflip,Flat Ground,3,INVALID,INVALID,INVALID,0
Frontside Halfcab Kickflip,Fakie Frontside 180 Kickflip,Flat Ground,4,INVALID,INVALID,INVALID,0
Backside Halfcab Heelflip,Fakie Backside 180 Heelflip,Flat Ground,3,INVALID,INVALID,INVALID,0
Frontside Halfcab Heelflip,Fakie Frontside 180 Heelflip,Flat Ground,4,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Rewind,INVALID,Flat Ground,2,3,3,4,0
Frontside Pop Shuvit Rewind,INVALID,Flat Ground,4,3,3,4,0
Late Kickflip,INVALID,Flat Ground,5,5,7,6,0
Late Heelflip,INVALID,Flat Ground,7,6,8,8,0
Backside Half Cab Late Kickflip,Fakie Backside 180 Late Kickflip,Flat Ground,6,INVALID,INVALID,INVALID,0
Backside 180 Late Kickflip,INVALID,Flat Ground,6,INVALID,9,9,0
Frontside 180 Late Kickflip,INVALID,Flat Ground,9,INVALID,10,10,0
Impossible,INVALID,Flat Ground,5,5,8,8,0
Frontfoot Impossible,INVALID,Flat Ground,6,6,8,7,0
Impossible Late Kickflip,INVALID,Flat Ground,9,10,10,10,0
Triple Kickflip,INVALID,Flat Ground,10,INVALID,INVALID,INVALID,0
Merlin Twist,Switch Frontfoot Impossible Frontside 180,Flat Ground,10,INVALID,INVALID,INVALID,0
Feather Flip,INVALID,Flat Ground,8,INVALID,INVALID,INVALID,1
Manual,INVALID,Manual Pad,1,INVALID,INVALID,INVALID,0
Nose Manual,INVALID,Manual Pad,1,INVALID,INVALID,INVALID,0
Manual Frontside 180,INVALID,Manual Pad,2,INVALID,INVALID,INVALID,0
Manual Backside 180,INVALID,Manual Pad,2,INVALID,INVALID,INVALID,0
Nose Manual Frontside 180,INVALID,Manual Pad,2,INVALID,INVALID,INVALID,0
Nose Manual Backside 180,INVALID,Manual Pad,2,INVALID,INVALID,INVALID,0
Manual Kickflip,INVALID,Manual Pad,3,INVALID,INVALID,INVALID,0
Nose Manual Nollie Kickflip,INVALID,Manual Pad,5,INVALID,INVALID,INVALID,0
Manual Heelflip,INVALID,Manual Pad,3,INVALID,INVALID,INVALID,0
Nose Manual Nollie Heelflip,INVALID,Manual Pad,5,INVALID,INVALID,INVALID,0
Manual Backside Pop Shuvit,INVALID,Manual Pad,2,INVALID,INVALID,INVALID,0
Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,2,INVALID,INVALID,INVALID,0
Manual Frontside Pop Shuvit,INVALID,Manual Pad,2,INVALID,INVALID,INVALID,0
Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,2,INVALID,INVALID,INVALID,0
Manual Backside 180 Kickflip,INVALID,Manual Pad,5,INVALID,INVALID,INVALID,0
Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nose Manual Nollie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
